002272,American
00D0EF,IGT
086195,Rockwell
F4BD9E,Cisco
5885E9,Realme
BC2392,BYD
405582,Nokia
A4E31B,Nokia
D89790,Commonwealth
883A30,Aruba
B8A58D,Axe
50CEE3,Gigafirm.co.LTD
98E743,Dell
C419D1,Telink
887E25,Extreme
086083,zte
E01954,zte
10327E,Huawei
F8084F,Sagemcom
30FBB8,HUAWEI
F497C2,Nebulon
A44519,Xiaomi
68DBF5,Amazon
2446C8,Motorola
1802AE,vivo
0C20D3,vivo
44D791,HUAWEI
8446FE,HUAWEI
D82918,HUAWEI
D0D003,Samsung
64B21D,Chengdu
C42996,Signify
980637,IEEE
8CB84A,SAMSUNG
98E8FA,Nintendo
38C4E8,NSS
34DD7E,Umeox
CCCD64,SM-Electronic
24DFA7,Hangzhou
B065F1,WIO
901234,Shenzhen
542A1B,Sonos
5C925E,Zioncom
084FA9,Cisco
084FF9,Cisco
5098B8,New
1100AA,Private
B84DEE,Hisense
A89352,SHANGHAI
E4CC9D,Integrated
A8D0E3,Systech
98BA39,Doro
D46BA6,HUAWEI
CC0577,HUAWEI
308BB2,Cisco
E0EB62,Shanghai
08688D,New
E86F38,CHONGQING
48216C,China
8CBE24,Tashang
08B3AF,vivo
30862D,Arista
6CE8C6,Earda
1C4176,China
608B0E,Apple
1871D5,Hazens
ACB1EE,SHENZHEN
F8ADCB,HMD
D462EA,HUAWEI
54BAD6,HUAWEI
94DC4E,AEV
1442FC,Texas
AC5D5C,FN-LINK
A4AE11,Hon
54DED0,Sevio
6C5E3B,Cisco
401920,Movon
D03745,TP-LINK
603A7C,TP-LINK
000178,MARGI
0CB771,ARRIS
58C876,China
2C1E4F,Chengdu
009052,SELCOM
001A83,Pegasus
24166D,HUAWEI
940B19,HUAWEI
70C7F2,HUAWEI
3894ED,NETGEAR
700433,California
DCA632,Raspberry
88F56E,HUAWEI
BC97E1,Broadcom
28D1B7,Shenzhen
C8C2FA,HUAWEI
88B362,Nokia
0847D0,Nokia
089C86,Nokia
7C8956,Samsung
9C93E4,Private
88299C,Samsung
CC9093,Hansong
CC64A6,HUAWEI
30317D,Hosiden
F0A968,Antailiye
48E1E9,Chengdu
D81399,Hui
54E019,Ring
148430,MITAC
B8A44F,Axis
0024EB,ClearPath
50AF4D,zte
C8EAF8,zte
709F2D,zte
383B26,Jiangsu
5CFAFB,Acubit
9C7BEF,Hewlett
742EDB,Perinet
201742,LG
CC8826,LG
EC5B73,Advanced
E0CB1D,Private
848BCD,IEEE
14C03E,ARRIS
C089AB,ARRIS
D44DA4,Murata
F8E5CF,CGI
6882F2,grandcentrix
D420B0,Mist
08EDED,Zhejiang
6092F5,ARRIS
0022AF,Safety
A091A2,OnePlus
0080B5,UNITED
1C697A,EliteGroup
4C1744,Amazon
B03055,China
905C34,Sirius
D46A35,Cisco
D09C7A,Xiaomi
C82C2B,IEEE
8020DA,Sagemcom
68847E,FUJITSU
003085,Cisco
605F8D,eero
C4B36A,Cisco
